,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
1157,C/N=C(/c1ccccc1)\O,CNC(c1ccccc1)=O,10.0,-2081.2069954472545,-2080.604794395447,-0.6022010518076968,-2098.3697140992845,-2098.214248031616,-0.15546606766838522,-17.16271865202998,-17.60945363616929,-0.44673498413931156
1158,CC(C=C)=O,C=CC(O)=C,5.0,-1121.7145774655912,-1121.548384048462,-0.1661934171293069,-1104.4530597536575,-1104.453471233368,0.000411479710464846,17.26151771193372,17.09491281509395,-0.16660489683977175
1159,CC(C#N)=O,C=C(C#N)O,5.0,-865.2239509336562,-865.6081789741517,0.3842280404954863,-852.1707986376695,-852.1363408241272,-0.034457813542303484,13.053152295986706,13.471838150024496,0.4186858540377898
1160,O=C1C=CC=CC1,O=C1C=CCC=C1,7.0,-1444.0682886970599,-1443.8475526313782,-0.22073606568164905,-1445.1375113733159,-1445.0144844131469,-0.12302696016899972,-1.069222676256004,-1.1669317817686533,-0.09770910551264933
1161,O=C(CCC=C1)C1=O,Oc(cccc1)c1O,8.0,-1545.9677999205574,-1545.839677597046,-0.12812232351143393,-1556.9430161268715,-1556.8543172149657,-0.08869891190579438,-10.975216206314144,-11.014639617919784,-0.03942341160563956
1162,N#CCC(C=CC1=O)=CC1=O,N#C/C=C(\C=CC1=O)/C=C1O,11.0,-1891.7826457128426,-1891.080997718811,-0.7016479940316458,-1895.6759048678346,-1894.8443857040406,-0.8315191637939279,-3.893259154991938,-3.763387985229656,0.12987116976228208
1163,CC(C(C(c1c2cccc1)=O)C2=O)=O,CC(C(C(c1c2cccc1)=O)=C2O)=O,14.0,-2612.9535618124005,-2606.4963032913206,-6.457258521079893,-2620.5519507531217,-2610.0969454193114,-10.455005333810277,-7.598388940721179,-3.6006421279907954,3.9977468127303837
1164,O=C1OCCCC1,OC1=CCCCO1,7.0,-1536.640424294016,-1536.629141784668,-0.01128250934789321,-1512.141270822552,-1512.1998449935913,0.058574171039254,24.499153471463842,24.429296791076695,-0.06985668038714721
1165,OC(CC(O)=O)=O,OC(C=C(O)O)=O,7.0,-1167.7723325358272,-1167.4394608726502,-0.3328716631770021,-1142.9972913400582,-1143.0483433799743,0.05105203991615781,24.775041195769063,24.391117492675903,-0.38392370309315993
1166,CC(OC(O)=C1)=CC1=O,CC(O1)=CC(O)=CC1=O,9.0,-1655.2106362067468,-1655.343711479187,0.1330752724402373,-1663.233885829545,-1663.280255126953,0.04636929740809137,-8.023249622798176,-7.93654364776603,0.08670597503214594
1167,OC(C=CN1)=CC1=O,OC(NC=C1)=CC1=O,8.0,-1441.7699627175953,-1441.971840648651,0.20187793105583296,-1428.2179304542335,-1429.0945087165833,0.8765782623497671,13.552032263361752,12.877331932067818,-0.6747003312939341
1168,CC(C(CCCC1)C1=O)=O,C/C(/O)=C(/CCCC1)\C1=O,10.0,-2281.815765614307,-2281.8735637207033,0.057798106396148796,-2271.7603824486455,-2272.414246673584,0.6538642249383884,10.055383165661624,9.459317047119384,-0.5960661185422396
