,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
856,CONC(N)=N,CON=C(N)N,6.0,-1146.0068598016705,-1145.2729324208576,-0.7339273808129292,-1153.028720307452,-1152.0434672328274,-0.985253074624552,-7.021860505781433,-6.77053481196981,0.25132569381162284
857,NC(NCOc1ccccc1)=N,NC(N)=NCOc1ccccc1,12.0,-2427.2317634508922,-2428.842648342992,1.6108848920998753,-2430.2809543488706,-2429.063274618681,-1.2176797301895022,-3.0491908979784057,-0.22062627568902826,2.8285646222893774
858,CCOC(NC(N)=N)=O,CCOC(N=C(N)N)=O,9.0,-1771.7285797702066,-1770.7581005907862,-0.9704791794204084,-1776.2861490760818,-1776.1426836589426,-0.1434654171391685,-4.557569305875177,-5.384583068156417,-0.8270137622812399
859,NC(NC#N)=N,NC(N)=NC#N,6.0,-974.2108267861979,-974.2403294036536,0.02950261745570515,-989.6483486233203,-989.391319869454,-0.25702875386627966,-15.437521837122404,-15.150990465800419,0.2865313713219848
860,NC(N[N+]([O-])=O)=N,NC(N)=N[N+]([O-])=O,7.0,-964.24299749057,-964.6719402462717,0.4289427557016552,-972.5612812742274,-971.8859268348557,-0.6753544393717448,-8.31828378365742,-7.213986588584021,1.1042971950734
861,CC(Nc1ccccc1)=N,C/C(/N)=N\c1ccccc1,10.0,-2161.877080036863,-2161.2775167178456,-0.5995633190173066,-2165.1608735093464,-2163.1329590650694,-2.0279144442770303,-3.2837934724834668,-1.8554423472237431,1.4283511252597236
862,C1NC=Nc2c1cccc2,C1N=CNc2c1cccc2,10.0,-2034.831558652445,-2034.1299254736866,-0.7016331787583567,-2034.9652181703675,-2034.5154056730764,-0.4498124972910773,-0.13365951792252417,-0.3854801993898036,-0.25182068146727943
863,CCNC1=Nc(cccc2)c2OC1,CC/N=C1/Nc(cccc2)c2OC1,13.0,-2726.403654425275,-2722.9425760392473,-3.461078386027566,-2722.048487672642,-2718.5675253234867,-3.4809623491551065,4.3551667526330675,4.375050715760608,0.019883963127540483
864,C1Oc(cccc2)c2N=C1Nc1ccccc1,C1Oc(cccc2)c2N/C1=N/c1ccccc1,17.0,-3382.670553543885,-3383.061495103889,0.39094156000373914,-3383.3640148909235,-3382.4925115507954,-0.8715033401281289,-0.6934613470384647,0.5689835530934033,1.262444900131868
865,NC(O1)=Nc(cccc2)c2C1=O,N=C(Nc1c2cccc1)OC2=O,12.0,-2135.550444682894,-2135.5451739508985,-0.005270731995551614,-2123.155528031797,-2124.0652182182666,0.909690186469561,12.394916651096992,11.479955732631879,-0.9149609184651126
866,O=C1OC(Nc2ccccc2)=Nc2c1cccc2,O=C(c(cccc1)c1N1)O/C1=N\c1ccccc1,18.0,-3383.525015636788,-3384.128383250443,0.6033676136553368,-3376.123481778771,-3379.5181034034254,3.394621624654519,7.401533858017046,4.610279847017864,-2.7912540109991824
867,O=C1N(CCN2)C2=NCC1,O=C(CCN1)N2C1=NCC2,10.0,-1996.2643359822323,-1994.8741068846896,-1.390229097542715,-1996.5880492945373,-1996.8824393703294,0.2943900757920801,-0.3237133123050171,-2.008332485639812,-1.684619173334795
868,Nc1ncccc1,N=C1NC=CC=C1,7.0,-1414.1407787348392,-1413.9466495030358,-0.19412923180334474,-1395.6136023063666,-1395.4347150623623,-0.17888724400427236,18.527176428472558,18.511934440673485,-0.015241987799072376
869,c(cc1)ccc1Nc1ncccc1,c(cc1)ccc1/N=C1/NC=CC=C1,13.0,-2661.73019817885,-2661.1135577505083,-0.616640428341725,-2649.093923186404,-2649.892230905646,0.7983077192420751,12.636274992446033,11.221326844862233,-1.4149481475838002
870,CC(Nc1ncccc1)=O,CC(/N=C1/NC=CC=C1)=O,10.0,-1988.0145240306103,-1988.0827234174815,0.06819938687112881,-1975.4713877592694,-1975.8367335505984,0.36534579132899125,12.543136271340927,12.245989866883065,-0.29714640445786245
871,Nc1nc2ccccc2cc1,N=C1Nc(cccc2)c2C=C1,11.0,-2212.3854931172345,-2212.202248471763,-0.1832446454714045,-2200.6207936434453,-2202.233600321404,1.6128066779588153,11.764699473789278,9.968648150359058,-1.7960513234302198
872,Nc1nccc2ccccc12,N=C1NC=Cc2c1cccc2,11.0,-2210.699931761772,-2210.3452226823692,-0.3547090794027099,-2200.8581672997293,-2200.303208378133,-0.5549589215961532,9.841764462042647,10.04201430423609,0.20024984219344333
873,Nc1nc2ccccc2c2ccccc12,N=C1Nc(cccc2)c2-c2c1cccc2,15.0,-3011.3345529985827,-3010.3681190508555,-0.9664339477271824,-3004.7496913454474,-3004.131116281173,-0.6185750642744097,6.584861653135249,6.237002769682476,-0.3478588834527727
874,Nc1cc2ccccc2nn1,N=C1NN=C(C=CC=C2)C2=C1,11.0,-2058.43269819159,-2058.250148173536,-0.18255001805391657,-2040.78629594318,-2039.5702808938308,-1.2160150493491528,17.64640224841014,18.679867279705377,1.0334650312952363
875,Nc1ncccn1,N=C1N=CC=CN1,7.0,-1292.3515799099325,-1292.454146031078,0.10256612114540076,-1273.6603009688777,-1273.8282917231727,0.16799075429503318,18.69127894105486,18.62585430790523,-0.06542463314963243
876,CN1C(N)=Nc2cccc3cccc1c23,CN(c1cccc2cccc(N3)c12)C3=N,15.0,-3012.699635972304,-3010.2516480823497,-2.44798788995422,-3008.9228861174847,-3005.7289853687403,-3.193900748744454,3.7767498548191725,4.522662713609407,0.7459128587902342
877,Nc1cccnn1,N=C1NN=CC=C1,7.0,-1263.711858641221,-1263.3828515416196,-0.3290070996013128,-1254.274496424695,-1254.1476010230072,-0.12689540168776148,9.437362216526026,9.235250518612474,-0.20211169791355132
878,Nc1nncc2ccccc12,N=C1NN=Cc2c1cccc2,11.0,-2061.924171571964,-2061.5143262380193,-0.40984533394475875,-2060.232700332282,-2059.6314375598486,-0.6012627724335289,1.6914712396819596,1.8828886781707297,0.19141743848877013
879,Nc(c1ccccc11)nnc1N,NC(c1c2cccc1)=NNC2=N,12.0,-2235.5511656736403,-2234.8727418959515,-0.6784237776887494,-2232.1823716504286,-2232.1173765821013,-0.06499506832733459,3.368794023211649,2.755365313850234,-0.6134287093614148
880,Cc1c(C)nnc(N)n1,CC(C(C)=NN1)=NC1=N,9.0,-1741.7962555075674,-1741.5161462230033,-0.2801092845641051,-1731.2800633157424,-1730.7369516196136,-0.5431116961287898,10.516192191824985,10.77919460338967,0.26300241156468473
881,Nc1nnnc2ccccc12,N=C1NN=Nc2c1cccc2,11.0,-1919.3458499411474,-1918.580520310854,-0.765329630293536,-1916.7323187906022,-1915.0089785273685,-1.7233402632336947,2.6135311505452137,3.5715417834853724,0.9580106329401588
882,Nc1nnnc2ccccc12,N=C1N=NNc2c1cccc2,11.0,-1919.3458424110415,-1918.5806962488728,-0.7651461621687758,-1912.428282764947,-1912.1100477901032,-0.31823497484379004,6.91755964609456,6.470648458769574,-0.4469111873249858
883,Nc1nc2ccccc2nc1,N=C1Nc(cccc2)c2N=C1,11.0,-2081.726916000945,-2081.0351772480217,-0.6917387529233565,-2070.0607945004667,-2071.71749976756,1.6567052670934572,11.666121500478312,9.317677480461498,-2.3484440200168137
884,Nc1nc2ccccc2cn1,N=C1N=Cc(cccc2)c2N1,11.0,-2089.6194992400738,-2089.268724656079,-0.3507745839947347,-2077.0228508433397,-2077.7572760180656,0.7344251747258568,12.596648396734054,11.511448638013462,-1.0851997587205915
885,Nc1nc2ccccc2cn1,N=C1N=C(C=CC=C2)C2=CN1,11.0,-2089.6194992400738,-2089.268900594098,-0.35059864597587875,-2063.5900642704505,-2064.77885617854,1.18879190808957,26.029434969623253,24.490044415557804,-1.5393905540654487
886,Nc1nccnc1,N=C1NC=CN=C1,7.0,-1282.2281804108525,-1282.1871949696892,-0.04098544116322955,-1263.3897542632374,-1263.4410870258725,0.051332762635183826,18.83842614761511,18.746107943816696,-0.09231820379841338
887,N#CNc1ncccc1,N#C/N=C1/NC=CC=C1,9.0,-1602.6378176003534,-1603.9702661863535,1.332448586000055,-1598.1866400157348,-1598.4192457523263,0.23260573659149486,4.451177584618563,5.551020434027123,1.0998428494085601
888,[O-][N+](Nc1ncccc1)=O,[O-][N+](/N=C1/NC=CC=C1)=O,10.0,-1587.6012855494525,-1586.2761796264945,-1.3251059229580733,-1577.4836949055646,-1574.5594113204354,-2.92428358512916,10.11759064388798,11.716768306059066,1.599177662171087
889,Nc1ccco1,N=C1OC=CC1,6.0,-1162.6533612330275,-1162.6762814044996,0.022920171472151196,-1161.0009210826672,-1160.9425881663485,-0.05833291631870452,1.6524401503602348,1.7336932381510906,0.08125308779085572
890,c1c[nH]c(Nc2ccccc2)c1,C(C=CN1)/C1=N/c1ccccc1,12.0,-2486.0283033328533,-2485.5430733810604,-0.48522995179291684,-2480.6441264647087,-2483.480024171545,2.8358977068364766,5.38417686814455,2.0630492095151567,-3.3211276586293934
891,O/N=C(/C1)\Nc2c1cccc2,ONC(C1)=Nc2c1cccc2,11.0,-2111.0218692900908,-2110.3687953236467,-0.6530739664440262,-2102.2588532270647,-2102.96655505485,0.7077018277850584,8.763016063026043,7.402240268796959,-1.3607757942290846
892,Cc1noc(N)c1,CC(C1)=NOC1=N,7.0,-1324.100820015388,-1324.0757500733694,-0.025069942018717484,-1316.8488235475909,-1316.979553988433,0.13073044084217145,7.251996467797198,7.0961960849363095,-0.15580038286088893
893,CC(c1cc(N)no1)=O,CC(C(ON1)=CC1=N)=O,9.0,-1585.350229027847,-1585.546564662154,0.19633563430693357,-1563.8708834512108,-1565.118577226749,1.2476937755382096,21.479345576636206,20.42798743540493,-1.051358141231276
