,Unnamed: 0,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi,n_atoms
1054,1054,Oc1ncccn1,O=C1N=CC=CN1,7.0,-1217.9646464682505,-1218.0757670402527,0.1111205720021644,-1217.2510369019776,-1217.2949388084412,0.0439019064635886,0.7136095662729076,0.7808282318114834,0.0672186655385758,7
1055,1055,NC(N1)=CC=NC1=O,NC(C=CN1)=NC1=O,8.0,-1391.4505846672928,-1391.3062402267456,-0.14434444054722914,-1397.7827696707516,-1398.0044198570251,0.22165018627333666,-6.332185003459017,-6.698179630279582,-0.3659946268205658,8
1056,1056,NC(N1)=CC=NC1=O,N=C(C=CN1)NC1=O,8.0,-1391.4505846672928,-1391.3062402267456,-0.14434444054722914,-1396.3671397013752,-1396.7269968338012,0.3598571324262139,-4.916555034082194,-5.420756607055637,-0.5042015729734429,8
1057,1057,NC(C=CN1)=NC1=O,N=C(C=CN1)NC1=O,8.0,-1397.7827822212603,-1398.002748413086,0.2199661918257334,-1396.3671397013752,-1396.7271727752686,0.3600330738936464,1.4156425198852958,1.2755756378173828,-0.14006688206791296,8
1058,1058,CN(C(N)=CC=N1)C1=O,CN(C(C=CN1)=N)C1=O,9.0,-1682.9622712716025,-1682.9849956970215,0.022724425419255567,-1685.46108826904,-1685.7967162857055,0.33562801666562336,-2.4988169974376437,-2.8117205886840106,-0.3129035912463678,9
1059,1059,O=C1N=CC=C2N1CCN2,O=C(NC=C1)N2C1=NCC2,10.0,-1846.064089536441,-1843.741658706665,-2.3224308297760667,-1850.208087027925,-1847.868717704773,-2.3393693231523685,-4.1439974914842415,-4.127058998107941,0.01693849337630127,10
1060,1060,NC(N1)=C2N=CC=NC2=NC1=O,NC(c1c(N2)nccn1)=NC2=O,12.0,-1927.8493723638735,-1928.9048943557736,1.0555219919001502,-1943.9235373794586,-1937.4512511291505,-6.472286250308343,-16.074165015585095,-8.546356773376601,7.527808242208493,12
1061,1061,CC(NC(C=CN1)=NC1=O)=O,CC(/N=C(\C=CN1)/NC1=O)=O,11.0,-1963.8785390313299,-1961.9818902053837,-1.8966488259468408,-1964.1039704707068,-1963.3271386642457,-0.7768318064611321,-0.2254314393767345,-1.345248458862443,-1.1198170194857084,11
1062,1062,NNC(C=CN1)=NC1=O,N/N=C(\C=CN1)/NC1=O,9.0,-1543.8142173688852,-1543.5149629898071,-0.2992543790780928,-1542.8179145511149,-1543.8675496902465,1.049635139131624,0.9963028177703565,-0.3525867004393604,-1.3488895182097167,9
1063,1063,ONC(C=CN1)=NC1=O,O/N=C(\C=CN1)/NC1=O,9.0,-1458.3087792563354,-1457.5400213813782,-0.7687578749571458,-1464.1954391231448,-1465.7546405181886,1.5592013950438286,-5.886659866809397,-8.21461913681037,-2.3279592700009744,9
1064,1064,NC(CCN1)=NC1=O,N=C(CCN1)NC1=O,8.0,-1525.3333167423827,-1525.3655449905395,0.032228248156798145,-1530.2550733453575,-1530.2088617019656,-0.04621164339232564,-4.921756602974939,-4.843316711425813,0.07843989154912379,8
1065,1065,NC(N1)=CN=NC1=O,NC(C=NN1)=NC1=O,8.0,-1237.6634998759505,-1239.9395733261106,2.276073450160311,-1255.897732931757,-1255.8707213058474,-0.027011625909835857,-18.234233055806502,-15.931147979736352,2.303085076070147,8
1066,1066,NC(C=NN1)=NC1=O,N=C(C=NN1)NC1=O,8.0,-1255.897732931757,-1255.8708092765808,-0.026923655176233297,-1254.5007856875575,-1254.8801708450314,0.3793851574741893,1.3969472441995094,0.9906384315490868,-0.4063088126504226,8
1067,1067,CN(C(N)=CN=N1)C1=O,CN(C(C=NN1)=N)C1=O,9.0,-1530.3536960702222,-1532.2086124191285,1.854916348906272,-1545.3059594250956,-1546.242055732727,0.9360963076317148,-14.95226335487314,-14.033443313598582,0.9188200412745572,9
1068,1068,NC(N1)=NC=NC1=O,NC(N=CN1)=NC1=O,8.0,-1277.9752344824428,-1277.861645301819,-0.11358918062387602,-1282.2530131376068,-1280.6459190216065,-1.6070941160003258,-4.2777786551639565,-2.7842737197875067,1.4935049353764498,8
1069,1069,COC(N=C(N)N1c2ccccc2)=NC1=O,COC(NC(N1c2ccccc2)=N)=NC1=O,16.0,-2912.7008141706633,-2895.2285670089727,-17.47224716169103,-2900.4706443259224,-2891.593264411926,-8.877379913996267,12.230169844740884,3.63530259704612,-8.594867247694765,16
