,natoms,CH,CN,CO,CC,NN,NO,NH,OH
400,15,10,2,1,13,0,0,0,1
401,19,13,2,1,18,0,0,0,0
402,19,13,2,1,18,0,0,0,0
403,19,12,2,1,18,0,0,0,1
404,15,11,2,1,13,0,0,0,0
405,15,10,2,1,13,0,0,0,1
406,19,13,2,1,18,0,0,0,0
407,19,12,2,1,18,0,0,0,1
408,10,12,2,1,7,0,0,0,1
409,10,13,2,1,7,0,0,0,0
410,15,13,2,1,12,1,0,1,0
411,17,17,2,1,14,1,0,1,0
412,13,9,4,1,9,0,0,1,0
413,8,5,4,1,3,0,0,1,0
414,13,8,6,1,7,0,0,1,0
415,13,8,6,1,7,0,0,1,0
416,13,7,8,1,5,0,0,1,0
417,13,8,7,1,4,2,0,1,0
418,13,8,7,1,4,2,0,1,0
419,8,7,4,1,3,0,0,1,0
420,15,8,2,1,14,0,0,0,1
421,15,8,2,1,14,0,0,0,1
422,15,7,4,1,12,0,0,0,1
423,18,13,4,1,15,0,0,0,1
424,16,6,4,2,12,0,0,0,2
425,25,16,7,3,17,1,0,2,0
426,25,13,8,1,18,1,0,1,1
427,10,5,4,1,6,0,0,1,0
428,16,15,5,1,12,0,0,0,1
429,12,15,2,3,7,0,0,0,0
430,10,9,2,3,6,0,0,0,0
431,8,4,3,2,2,0,1,2,0
432,8,3,2,2,3,0,1,3,0
433,13,5,2,2,9,0,1,2,1
434,9,5,2,2,4,0,1,2,1
435,7,1,1,3,2,0,1,1,1
436,7,6,3,0,4,0,0,2,0
437,7,4,2,1,4,0,0,0,1
438,7,6,2,1,4,0,0,0,1
439,8,3,3,1,4,0,0,2,1
440,9,8,2,1,6,0,0,0,1
441,17,12,2,7,8,0,0,0,1
442,8,3,3,1,4,0,0,2,1
443,10,3,3,1,4,0,2,0,1
444,8,6,2,1,5,0,0,0,1
445,8,6,2,1,5,0,0,0,1
446,13,8,2,1,11,0,0,0,1
447,13,8,2,1,11,0,0,0,1
448,10,6,2,2,6,0,0,0,1
449,10,6,2,2,6,0,0,0,1
450,11,6,2,4,5,0,0,0,1
451,11,6,2,4,5,0,0,0,1
452,11,6,4,2,5,0,0,1,1
453,11,6,4,2,5,0,0,1,1
454,9,6,2,3,4,0,0,0,1
455,9,6,2,3,4,0,0,0,1
456,11,6,2,4,5,0,0,0,1
457,11,6,2,4,5,0,0,0,1
458,14,8,2,3,10,0,0,0,1
459,14,8,2,3,10,0,0,0,1
460,9,3,3,1,5,0,0,0,1
461,9,3,3,1,5,0,0,0,1
462,10,3,3,1,4,0,2,0,1
463,11,6,2,1,9,0,0,0,1
464,12,8,2,1,10,0,0,0,1
465,12,8,2,1,10,0,0,0,1
466,12,5,3,1,9,0,0,2,1
467,12,5,3,1,9,0,0,2,1
468,17,10,2,1,16,0,0,0,1
469,17,10,2,1,16,0,0,0,1
470,14,10,2,3,10,0,0,0,1
471,14,10,2,3,10,0,0,0,1
472,15,8,2,4,10,0,0,0,1
473,15,8,2,4,10,0,0,0,1
474,15,10,4,3,9,0,0,1,1
475,15,10,4,3,9,0,0,1,1
476,13,8,2,3,9,0,0,0,1
477,13,8,2,3,9,0,0,0,1
478,15,8,2,4,10,0,0,0,1
479,15,8,2,4,10,0,0,0,1
480,18,10,2,3,15,0,0,0,1
481,18,10,2,3,15,0,0,0,1
482,13,5,3,1,10,0,0,0,1
483,13,5,3,1,10,0,0,0,1
484,14,5,3,1,9,0,2,0,1
485,14,5,3,1,9,0,2,0,1
486,8,4,2,1,4,0,1,0,1
487,16,8,2,1,14,0,1,0,1
488,15,8,2,1,14,0,0,0,1
489,7,3,2,1,3,1,0,0,1
490,11,5,2,1,8,1,0,0,1
491,11,5,4,1,7,0,0,0,1
492,16,10,2,4,11,0,0,0,1
493,20,14,2,3,17,0,0,0,1
494,18,14,2,7,9,0,0,1,0
495,29,20,2,7,22,0,0,1,0
496,29,18,6,7,18,0,0,0,1
497,19,10,6,1,14,0,0,1,0
498,19,10,6,1,14,0,0,0,1
499,16,6,4,2,12,0,0,1,1
500,18,10,4,2,14,0,0,1,1
501,18,10,4,2,14,0,0,1,1
502,13,11,2,0,12,0,0,0,0
503,12,11,2,3,7,0,0,0,0
504,9,6,3,0,6,0,0,0,0
505,10,6,3,0,5,0,2,0,0
506,12,11,2,3,7,0,0,0,0
507,15,11,2,1,13,0,0,0,0
508,10,6,3,0,5,0,2,0,0
509,8,10,1,1,5,0,0,1,0
510,8,9,1,1,5,0,0,1,1
511,11,13,2,0,6,0,2,1,0
512,10,11,1,1,5,0,2,0,0
513,14,19,2,0,9,0,2,1,0
514,10,11,2,0,5,0,2,1,0
515,8,8,3,0,2,0,2,0,0
516,8,8,3,0,3,1,0,1,0
517,8,8,3,0,3,1,0,1,0
518,15,9,9,0,5,0,2,2,0
519,15,7,11,0,3,0,2,3,0
520,12,12,2,2,8,0,0,1,0
521,22,14,6,2,15,1,0,1,0
522,15,8,2,4,10,0,0,1,0
523,16,11,3,3,10,0,0,1,0
